Year,NPI,NPPES Provider Last Name,NPPES Provider First Name,NPPES Provider ZIP Code,City,County,NPPES Provider State,Specialty Description,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,Extended-Release Opioid Claims,Extended-Release Opioid Prescribing Rate
2016,1265464960,DAWSON,BRIAN,84302,Brigham City,Box Elder,UT,Family Practice,3423,160,0.0467,15,0.0938
2015,1265464960,DAWSON,BRIAN,84302,Brigham City,Box Elder,UT,Family Practice,3179,144,0.0453,,
2015,1962539452,RICHARDS,TAWNA,84302,Brigham City,Box Elder,UT,Nurse Practitioner,3050,226,0.0741,,
2016,1962539452,RICHARDS,TAWNA,84302,Brigham City,Box Elder,UT,Nurse Practitioner,2985,221,0.074,,
2016,1366415770,GOBLE,DESERAE,84302,Brigham City,Box Elder,UT,Family Practice,2738,84,0.0307,0,0
2016,1881705424,WILDING,GREGG,84302,Brigham City,Box Elder,UT,General Practice,2036,89,0.0437,0,0
2015,1881705424,WILDING,GREGG,84302,Brigham City,Box Elder,UT,General Practice,1920,67,0.0349,,
2016,1487653218,LEWIS,DAVID,84302,Brigham City,Box Elder,UT,Ophthalmology,1201,,,0,
2016,1194038489,ALLEN,LINDEE,84302,Brigham City,Box Elder,UT,Nurse Practitioner,1190,45,0.0378,0,0
2015,1487653218,LEWIS,DAVID,84302,Brigham City,Box Elder,UT,Ophthalmology,1125,,,,
2015,1386909851,WOLPERT,KATHRYN,84302,Brigham City,Box Elder,UT,Family Practice,953,39,0.0409,,
2015,1194038489,ALLEN,LINDEE,84302,Brigham City,Box Elder,UT,Nurse Practitioner,932,45,0.0483,,
2016,1386909851,WOLPERT,KATHRYN,84302,Brigham City,Box Elder,UT,Family Practice,868,79,0.091,,
2015,1427169036,KELLER,BRUCE,84302,Brigham City,Box Elder,UT,Family Practice,700,,,,
2016,1760607782,TURNER,SCOTT,84302,Brigham City,Box Elder,UT,Ophthalmology,552,0,0,0,
2015,1760607782,TURNER,SCOTT,84302,Brigham City,Box Elder,UT,Ophthalmology,547,,,,
2016,1609987270,SUMKO,MICHAEL,84302,Brigham City,Box Elder,UT,Orthopedic Surgery,445,191,0.4292,0,0
2016,1871591958,ASHDOWN,JAN,84302,Brigham City,Box Elder,UT,General Surgery,427,56,0.1311,0,0
2015,1871591958,ASHDOWN,JAN,84302,Brigham City,Box Elder,UT,General Surgery,423,65,0.1537,,
2015,1154362747,HILLAM,JOSEPH,84302,Brigham City,Box Elder,UT,Gastroenterology,420,,,,
2015,1609987270,SUMKO,MICHAEL,84302,Brigham City,Box Elder,UT,Orthopedic Surgery,413,135,0.3269,,
2016,1902065824,PUGSLEY,JACOB,84302,Brigham City,Box Elder,UT,Physical Medicine and Rehabilitation,411,133,0.3236,0,0
2016,1548540271,HESS,BRIAN,84302,Brigham City,Box Elder,UT,Physician Assistant,378,155,0.4101,0,0
2015,1902065824,PUGSLEY,JACOB,84302,Brigham City,Box Elder,UT,Physical Medicine and Rehabilitation,339,89,0.2625,,
2016,1467563866,BITNER,MATTHEW,84302,Brigham City,Box Elder,UT,Orthopedic Surgery,324,89,0.2747,0,0
2015,1609163658,MIHLFEITH,CATHERINE,84302,Brigham City,Box Elder,UT,Physician Assistant,313,37,0.1182,,
2016,1639372840,BRYCE,LANCE,84302,Brigham City,Box Elder,UT,General Surgery,305,42,0.1377,0,0
2016,1154362747,HILLAM,JOSEPH,84302,Brigham City,Box Elder,UT,Gastroenterology,294,,,0,
2016,1184981938,WEEKS JUBER,JESSICA,84302,Brigham City,Box Elder,UT,Physician Assistant,275,15,0.0545,0,0
2015,1467563866,BITNER,MATTHEW,84302,Brigham City,Box Elder,UT,Orthopedic Surgery,274,50,0.1825,,
2016,1427496918,STAPLEY,AARON,84302,Brigham City,Box Elder,UT,Family Practice,259,,,0,
2015,1639372840,BRYCE,LANCE,84302,Brigham City,Box Elder,UT,General Surgery,252,35,0.1389,,
2016,1992154777,NIELSEN,KELLIE,84302,Brigham City,Box Elder,UT,Nurse Practitioner,245,24,0.098,,
2016,1295058501,LARSEN,LYNN,84302,Brigham City,Box Elder,UT,Nurse Practitioner,243,33,0.1358,0,0
2015,1548540271,HESS,BRIAN,84302,Brigham City,Box Elder,UT,Physician Assistant,243,98,0.4033,,
2016,1609163658,MIHLFEITH,CATHERINE,84302,Brigham City,Box Elder,UT,Physician Assistant,216,14,0.0648,0,0
2015,1427496918,STAPLEY,AARON,84302,Brigham City,Box Elder,UT,Family Practice,209,0,0,,
2015,1881770345,DIBBLE,RAQUEL,84302,Brigham City,Box Elder,UT,Certified Nurse Midwife,197,,,,
2015,1992097612,MALOUF,JOHN,84302,Brigham City,Box Elder,UT,Family Practice,140,,,,
2015,1184981938,WEEKS,JESSICA,84302,Brigham City,Box Elder,UT,Physician Assistant,138,13,0.0942,,
2016,1346571973,OLSON,AARON,84302,Brigham City,Box Elder,UT,Dentist,123,14,0.1138,0,0
2015,1194802991,FERGUSON,DANIEL,84302,Brigham City,Box Elder,UT,Obstetrics/Gynecology,108,,,,
2016,1427169036,KELLER,BRUCE,84302,Brigham City,Box Elder,UT,Family Practice,107,0,0,0,
2016,1881770345,DIBBLE,RAQUEL,84302,Brigham City,Box Elder,UT,Certified Nurse Midwife,103,0,0,0,
2015,1295058501,LARSEN,LYNN,84302,Brigham City,Box Elder,UT,Nurse Practitioner,97,,,,
2015,1124068788,HARRISON,WILLIAM,84302,Brigham City,Box Elder,UT,Optometry,90,0,0,,
2016,1124068788,HARRISON,WILLIAM,84302,Brigham City,Box Elder,UT,Optometry,86,0,0,0,
2015,1346571973,OLSON,AARON,84302,Brigham City,Box Elder,UT,Dentist,84,,,,
2016,1972529618,CAPENER,RANDELL,84302,Brigham City,Box Elder,UT,Dentist,80,,,0,
2016,1114211588,JOHNSON,JOSEPH,84302,Brigham City,Box Elder,UT,Dentist,78,20,0.2564,0,0
2015,1114211588,JOHNSON,JOSEPH,84302,Brigham City,Box Elder,UT,Dentist,78,21,0.2692,,
2016,1750517215,TENSMEYER,DANIEL,84302,Brigham City,Box Elder,UT,Orthopedic Surgery,75,43,0.5733,,
2015,1972529618,CAPENER,RANDELL,84302,Brigham City,Box Elder,UT,Dentist,75,,,,
2016,1982620233,JENSON,RICHARD,84302,Brigham City,Box Elder,UT,Dentist,73,19,0.2603,0,0
2016,1437137379,TERRY,LARRY,84302,Brigham City,Box Elder,UT,Optometry,71,0,0,0,
2016,1508020363,PASSEY,CALLIN,84302,Brigham City,Box Elder,UT,Optometry,62,0,0,0,
2015,1750517215,TENSMEYER,DANIEL,84302,Brigham City,Box Elder,UT,Orthopedic Surgery,61,21,0.3443,,
2015,1437137379,TERRY,LARRY,84302,Brigham City,Box Elder,UT,Optometry,54,0,0,,
2015,1982620233,JENSON,RICHARD,84302,Brigham City,Box Elder,UT,Dentist,54,,,,
2015,1669464962,BENSON,BRADY,84302,Brigham City,Box Elder,UT,Dentist,53,16,0.3019,,
2016,1629127949,SUTTON,PHILLIP,84302,Brigham City,Box Elder,UT,Dentist,50,,,0,
2015,1093810954,DAINES,HOWARD,84302,Brigham City,Box Elder,UT,Dentist,46,,,,
2015,1104862275,MURDOCK,MARK,84302,Brigham City,Box Elder,UT,Dentist,46,,,,
2016,1104862275,MURDOCK,MARK,84302,Brigham City,Box Elder,UT,Dentist,42,,,0,
2016,1669464962,BENSON,BRADY,84302,Brigham City,Box Elder,UT,Dentist,41,,,0,
2015,1629127949,SUTTON,PHILLIP,84302,Brigham City,Box Elder,UT,Dentist,40,12,0.3,,
2015,1326163254,TORRES,KEVIN,84302,Brigham City,Box Elder,UT,Dentist,37,18,0.4865,,
2016,1407873011,BAILEY,STANTON,84302,Brigham City,Box Elder,UT,Obstetrics & Gynecology,36,,,0,
2016,1417337122,WELLS,RYKER,84302,Brigham City,Box Elder,UT,Dentist,34,13,0.3824,0,0
2015,1053732297,OVERSON,CHRISTY,84302,Brigham City,Box Elder,UT,Certified Nurse Midwife,33,,,,
2016,1033471339,OLSON,JOSEPH,84302,Brigham City,Box Elder,UT,Optometry,32,0,0,0,
2016,1184691768,WAHLEN,JENNIFER,84302,Brigham City,Box Elder,UT,Dentist,32,,,,
2016,1396792982,REED,PAUL,84302,Brigham City,Box Elder,UT,Optometry,28,0,0,0,
2016,1093810954,DAINES,HOWARD,84302,Brigham City,Box Elder,UT,Dentist,27,,,0,
2015,1184691768,WAHLEN,JENNIFER,84302,Brigham City,Box Elder,UT,Dentist,26,0,0,,
2015,1770608663,ADAMS,JODY,84302,Brigham City,Box Elder,UT,Dentist,26,,,,
2015,1174721674,HANNUM,THOMAS,84302,Brigham City,Box Elder,UT,Specialist,22,0,0,,
2016,1053732297,OVERSON,CHRISTY,84302,Brigham City,Box Elder,UT,Certified Nurse Midwife,20,,,0,
2016,1083747927,HAWS,JAYSON,84302,Brigham City,Box Elder,UT,Dentist,20,0,0,0,
2015,1851547806,MCARTHUR,NATHAN,84302,Brigham City,Box Elder,UT,Dentist,20,,,,
2016,1346257169,NELSON,DANIEL,84302,Brigham City,Box Elder,UT,Dentist,19,0,0,0,
2016,1851547806,MCARTHUR,NATHAN,84302,Brigham City,Box Elder,UT,Dentist,19,,,0,
2015,1346257169,NELSON,DANIEL,84302,Brigham City,Box Elder,UT,Dentist,17,,,,
2015,1083747927,HAWS,JAYSON,84302,Brigham City,Box Elder,UT,Dentist,16,,,,
2015,1598986648,BUTLER,BRENT,84302,Brigham City,Box Elder,UT,Dentist,16,,,,
2016,1598986648,BUTLER,BRENT,84302,Brigham City,Box Elder,UT,Dentist,14,0,0,0,
2016,1770608663,ADAMS,JODY,84302,Brigham City,Box Elder,UT,Dentist,14,,,0,
2015,1396792982,REED,PAUL,84302,Brigham City,Box Elder,UT,Optometry,12,0,0,,
2015,1922235639,CHRISTENSEN,BRAD,84302,Brigham City,Box Elder,UT,Dentist,12,,,,
2016,1174721674,HANNUM,THOMAS,84302,Brigham City,Box Elder,UT,Specialist,11,0,0,0,
2015,1508020363,PASSEY,CALLIN,84302,Brigham City,Box Elder,UT,Optometry,11,0,0,,
2016,1841495066,DONALDSON,RICHARD,84513,Castle Dale,Emery,UT,Family Practice,8981,1293,0.144,145,0.1121
2015,1841495066,DONALDSON,RICHARD,84513,Castle Dale,Emery,UT,Family Practice,8761,1235,0.141,148,0.1198
2015,1912981036,TUTTLE,STEVEN,84513,Castle Dale,Emery,UT,Optometry,264,0,0,,
2016,1912981036,TUTTLE,STEVEN,84513,Castle Dale,Emery,UT,Optometry,222,0,0,0,
2015,1215094461,BARDSLEY,CHRISTINE,84513,Castle Dale,Emery,UT,Nurse Practitioner,169,44,0.2604,,
2016,1215094461,BARDSLEY,CHRISTINE,84513,Castle Dale,Emery,UT,Nurse Practitioner,109,33,0.3028,0,0
2016,1629145669,LEONARD,SHAWN,84513,Castle Dale,Emery,UT,Dentist,49,,,0,
2015,1720110687,MCKELL,KENT,84513,Castle Dale,Emery,UT,Dentist,42,,,,
2015,1245363951,HUNTINGTON,TODD,84513,Castle Dale,Emery,UT,Dentist,39,,,,
2016,1720110687,MCKELL,KENT,84513,Castle Dale,Emery,UT,Dentist,36,,,0,
2015,1629145669,LEONARD,SHAWN,84513,Castle Dale,Emery,UT,Dentist,32,,,,
2016,1245363951,HUNTINGTON,TODD,84513,Castle Dale,Emery,UT,Dentist,25,,,0,
2015,1619065943,DICKMAN,OTTO,84513,Castle Dale,Emery,UT,Family Practice,17,0,0,,
2015,1134142698,SMITH,PHILIP,84720,Cedar City,Iron,UT,Internal Medicine,14328,1120,0.0782,114,0.1018
2016,1134142698,SMITH,PHILIP,84720,Cedar City,Iron,UT,Internal Medicine,13746,736,0.0535,67,0.091
2016,1770506230,MARSHALL,THOMAS,84721,Cedar City,Iron,UT,Family Practice,10726,415,0.0387,,
2016,1306850011,BUNKER,CLINT,84720,Cedar City,Iron,UT,Family Practice,10482,515,0.0491,13,0.0252
2015,1164680336,AGGARWAL,NUPUR,84721,Cedar City,Iron,UT,Internal Medicine,10401,945,0.0909,106,0.1122
2015,1306850011,BUNKER,CLINT,84720,Cedar City,Iron,UT,Family Practice,10221,467,0.0457,13,0.0278
2015,1770506230,MARSHALL,THOMAS,84721,Cedar City,Iron,UT,Family Practice,9473,385,0.0406,,
2016,1255537429,GARRETT,TODD,84721,Cedar City,Iron,UT,Internal Medicine,9379,381,0.0406,22,0.0577
2016,1164680336,AGGARWAL,NUPUR,84721,Cedar City,Iron,UT,Internal Medicine,8974,599,0.0667,41,0.0684
2016,1427211788,CORRY,JACOB,84721,Cedar City,Iron,UT,Family Practice,8503,356,0.0419,0,0
2015,1427211788,CORRY,JACOB,84721,Cedar City,Iron,UT,Family Practice,8267,350,0.0423,,
2016,1033347158,CORRY,MARK,84721,Cedar City,Iron,UT,Family Practice,7171,268,0.0374,15,0.056
2015,1255537429,GARRETT,TODD,84721,Cedar City,Iron,UT,Internal Medicine,7049,331,0.047,19,0.0574
2015,1033347158,CORRY,MARK,84721,Cedar City,Iron,UT,Family Practice,6506,286,0.044,,
2015,1700084829,POLSON,DREW,84721,Cedar City,Iron,UT,Family Practice,5944,306,0.0515,11,0.0359
2015,1285760132,NORTH,JASON,84721,Cedar City,Iron,UT,Family Practice,5665,189,0.0334,,
2016,1669505178,JOHNSON,DAYNE,84721,Cedar City,Iron,UT,Physician Assistant,5541,3764,0.6793,669,0.1777
2016,1134157613,NEWMAN,STEVEN,84721,Cedar City,Iron,UT,Family Practice,5436,291,0.0535,36,0.1237
2015,1134157613,NEWMAN,STEVEN,84721,Cedar City,Iron,UT,Family Practice,5317,333,0.0626,19,0.0571
2015,1669505178,JOHNSON,DAYNE,84721,Cedar City,Iron,UT,Physician Assistant,4484,3092,0.6896,497,0.1607
2016,1871594002,DENHALTER,THOMAS,84721,Cedar City,Iron,UT,Nurse Practitioner,4342,,,0,
2015,1871594002,DENHALTER,THOMAS,84721,Cedar City,Iron,UT,Nurse Practitioner,3722,,,,
2016,1407046675,WILCKEN,JULIE,84721,Cedar City,Iron,UT,Physician Assistant,2315,116,0.0501,,
2016,1033153341,WHITTEMORE,KAREN,84720,Cedar City,Iron,UT,Nurse Practitioner,2075,157,0.0757,13,0.0828
2015,1033153341,WHITTEMORE,KAREN,84720,Cedar City,Iron,UT,Nurse Practitioner,2050,156,0.0761,,
2016,1700149804,BULLOCH,MICHAEL,84721,Cedar City,Iron,UT,Family Practice,2016,123,0.061,0,0
2015,1023068426,ROBBINS,BRETT,84721,Cedar City,Iron,UT,Nurse Practitioner,1993,138,0.0692,,
2015,1407046675,WILCKEN,JULIE,84721,Cedar City,Iron,UT,Physician Assistant,1804,114,0.0632,,
2016,1023068426,ROBBINS,BRETT,84721,Cedar City,Iron,UT,Nurse Practitioner,1753,110,0.0627,0,0
2015,1144330648,ANDERSON,CHAD,84720,Cedar City,Iron,UT,Ophthalmology,1707,0,0,,
2016,1528496080,COX,JAMIE,84721,Cedar City,Iron,UT,Nurse Practitioner,1565,89,0.0569,0,0
2015,1609027986,MANCHANDA,AARUSH,84721,Cedar City,Iron,UT,Cardiac Surgery,1450,,,,
2016,1144330648,ANDERSON,CHAD,84720,Cedar City,Iron,UT,Ophthalmology,1330,,,0,
2016,1730220971,WILLIAMS,RYAN,84720,Cedar City,Iron,UT,Psychiatry,1246,0,0,0,
2015,1528496080,COX,JAMIE,84721,Cedar City,Iron,UT,Nurse Practitioner,1240,89,0.0718,,
2016,1700062072,THOMPSON,PATRICK,84721,Cedar City,Iron,UT,Physician Assistant,1142,37,0.0324,0,0
2016,1073692380,COLBERT,RAND,84721,Cedar City,Iron,UT,Dermatology,1112,,,0,
2015,1730220971,WILLIAMS,RYAN,84720,Cedar City,Iron,UT,Psychiatry,1031,,,,
2016,1609027986,MANCHANDA,AARUSH,84721,Cedar City,Iron,UT,Cardiovascular Disease (Cardiology),915,,,0,
2015,1073692380,COLBERT,RAND,84721,Cedar City,Iron,UT,Dermatology,881,14,0.0159,,
2016,1285857268,PARSON,BROC,84720,Cedar City,Iron,UT,Family Practice,776,35,0.0451,0,0
2015,1285857268,PARSON,BROC,84720,Cedar City,Iron,UT,Family Practice,747,37,0.0495,,
2016,1720429491,COWLEY,DAVID,84721,Cedar City,Iron,UT,Nurse Practitioner,671,115,0.1714,25,0.2174
2016,1295793834,PEARSON,ROBERT,84720,Cedar City,Iron,UT,Otolaryngology,630,41,0.0651,0,0
2016,1518900562,WEBB,BRAD,84720,Cedar City,Iron,UT,Podiatry,609,72,0.1182,0,0
2015,1700149804,BULLOCH,MICHAEL,84721,Cedar City,Iron,UT,Family Practice,605,46,0.076,,
2015,1619306438,NIELSEN,WES,84721,Cedar City,Iron,UT,Physician Assistant,586,15,0.0256,,
2015,1295793834,PEARSON,ROBERT,84720,Cedar City,Iron,UT,Otolaryngology,563,40,0.071,,
2016,1699781666,PEARSON,ALAN,84720,Cedar City,Iron,UT,Nurse Practitioner,543,27,0.0497,0,0
2016,1619306438,NIELSEN,WES,84721,Cedar City,Iron,UT,Physician Assistant,527,20,0.038,0,0
2015,1518900562,WEBB,BRAD,84720,Cedar City,Iron,UT,Podiatry,495,74,0.1495,,
2015,1720429491,COWLEY,DAVID,84721,Cedar City,Iron,UT,Nurse Practitioner,435,57,0.131,,
2016,1205926748,DELCORE,RANDY,84720,Cedar City,Iron,UT,Orthopedic Surgery,433,225,0.5196,0,0
2015,1205926748,DELCORE,RANDY,84720,Cedar City,Iron,UT,Orthopedic Surgery,431,200,0.464,,
2016,1528087236,STULTS,MICHAEL,84720,Cedar City,Iron,UT,General Surgery,419,61,0.1456,0,0
2015,1528087236,STULTS,MICHAEL,84720,Cedar City,Iron,UT,General Surgery,414,78,0.1884,,
2016,1003836024,BLEAZARD,JEFFERY,84720,Cedar City,Iron,UT,Emergency Medicine,412,113,0.2743,,
2015,1003836024,BLEAZARD,JEFFERY,84720,Cedar City,Iron,UT,Emergency Medicine,406,146,0.3596,,
2016,1225432669,SWANK,LUKE,84721,Cedar City,Iron,UT,Physician Assistant,386,15,0.0389,0,0
2016,1235462326,CHRISTIAN,JASON,84721,Cedar City,Iron,UT,Physician Assistant,385,,,0,
2016,1033244215,NEWMAN,STEVE,84720,Cedar City,Iron,UT,Physician Assistant,373,166,0.445,,
2015,1033244215,NEWMAN,STEVE,84720,Cedar City,Iron,UT,Physician Assistant,369,100,0.271,,
2015,1235462326,CHRISTIAN,JASON,84721,Cedar City,Iron,UT,Physician Assistant,362,12,0.0331,,
2016,1922160530,WILSON,DARRELL,84720,Cedar City,Iron,UT,Emergency Medicine,355,100,0.2817,0,0
2015,1699781666,PEARSON,ALAN,84720,Cedar City,Iron,UT,Nurse Practitioner,334,13,0.0389,,
2015,1831119056,COX,RICHARD,84720,Cedar City,Iron,UT,Emergency Medicine,323,102,0.3158,,
2015,1922160530,WILSON,DARRELL,84720,Cedar City,Iron,UT,Emergency Medicine,297,103,0.3468,,
2016,1831119056,COX,RICHARD,84720,Cedar City,Iron,UT,Emergency Medicine,259,76,0.2934,,
2015,1861409120,GRAY,JARID,84721,Cedar City,Iron,UT,Family Practice,258,,,,
2015,1205862208,HAYCOCK,KIMBERLY,84721,Cedar City,Iron,UT,Physician Assistant,257,69,0.2685,,
2016,1649287905,HENSMAN,ERICA,84720,Cedar City,Iron,UT,Physician Assistant,241,,,0,
2015,1326158551,CHRISTIAN,RORY,84720,Cedar City,Iron,UT,Optometry,230,0,0,,
2015,1386626018,PARKER,SCOTT,84720,Cedar City,Iron,UT,Nurse Practitioner,218,,,,
2016,1205862208,HAYCOCK,KIMBERLY,84721,Cedar City,Iron,UT,Physician Assistant,218,46,0.211,0,0
2016,1952324410,CORRY,ROBERT,84720,Cedar City,Iron,UT,Family Practice,207,,,0,
2016,1487039996,GOULD,BETTY,84720,Cedar City,Iron,UT,Nurse Practitioner,198,19,0.096,,
2016,1588869549,WILLIAMS,CHASE,84720,Cedar City,Iron,UT,Dentist,195,38,0.1949,0,0
2015,1609861152,CLARK,GARY,84721,Cedar City,Iron,UT,Podiatry,195,22,0.1128,,
2016,1326158551,CHRISTIAN,RORY,84720,Cedar City,Iron,UT,Optometry,188,0,0,0,
2015,1932387198,SUTHERLAND,JOHN,84721,Cedar City,Iron,UT,General Surgery,184,59,0.3207,,
2016,1609861152,CLARK,GARY,84721,Cedar City,Iron,UT,Podiatry,180,23,0.1278,0,0
2015,1033244207,NAKKEN,ROBERT,84720,Cedar City,Iron,UT,Orthopedic Surgery,169,83,0.4911,,
2015,1346228129,SANDERS,STEPHEN,84720,Cedar City,Iron,UT,Obstetrics/Gynecology,153,,,,
2016,1154641959,KJAR,DARALEE,84721,Cedar City,Iron,UT,Nurse Practitioner,152,0,0,0,
2015,1154641959,KJAR,DARALEE,84721,Cedar City,Iron,UT,Nurse Practitioner,150,,,,
2015,1588869549,WILLIAMS,CHASE,84720,Cedar City,Iron,UT,Dentist,141,43,0.305,,
2015,1760446058,BROWN,SCOTT,84720,Cedar City,Iron,UT,Dentist,139,36,0.259,,
2016,1073713715,GUNN,RYAN,84720,Cedar City,Iron,UT,Dentist,135,12,0.0889,0,0
2015,1073713715,GUNN,RYAN,84720,Cedar City,Iron,UT,Dentist,132,18,0.1364,,
2016,1033430111,GLAZIER,BRIAN,84721,Cedar City,Iron,UT,Dentist,132,33,0.25,0,0
2016,1760446058,BROWN,SCOTT,84720,Cedar City,Iron,UT,Dentist,131,18,0.1374,0,0
2016,1871703363,FISH,SHERAL,84720,Cedar City,Iron,UT,Physician Assistant,130,,,0,
2015,1336153030,HENDRIX,BRUCE,84720,Cedar City,Iron,UT,Internal Medicine,129,0,0,,
2016,1336331958,BILANZICH,TRAVIS,84721,Cedar City,Iron,UT,Obstetrics & Gynecology,123,,,0,
2016,1346228129,SANDERS,STEPHEN,84720,Cedar City,Iron,UT,Obstetrics & Gynecology,120,,,0,
2015,1952367955,BROWN,SHAWN,84720,Cedar City,Iron,UT,Dentist,114,14,0.1228,,
2016,1962606012,ALLAN,NICHOLAS,84721,Cedar City,Iron,UT,Emergency Medicine,111,24,0.2162,0,0
2015,1407942725,SORENSEN,JAMES,84720,Cedar City,Iron,UT,Dentist,108,39,0.3611,,
2016,1033244207,NAKKEN,ROBERT,84720,Cedar City,Iron,UT,Orthopedic Surgery,106,45,0.4245,0,0
2016,1902942147,LUDLOW,JEREMY,84720,Cedar City,Iron,UT,Dentist,105,34,0.3238,0,0
2016,1952564627,SPEAKMAN,MORI,84721,Cedar City,Iron,UT,Family Practice,101,15,0.1485,0,0
2015,1336331958,BILANZICH,TRAVIS,84721,Cedar City,Iron,UT,Obstetrics/Gynecology,99,,,,
2016,1447548128,PERSONS,RICHARD,84721,Cedar City,Iron,UT,Physician Assistant,96,12,0.125,0,0
2016,1407942725,SORENSEN,JAMES,84720,Cedar City,Iron,UT,Dentist,95,25,0.2632,0,0
2015,1649287905,HENSMAN,ERICA,84720,Cedar City,Iron,UT,Physician Assistant,93,,,,
2016,1427140417,ALBRECHT,WILLIAM,84720,Cedar City,Iron,UT,Optometry,90,0,0,0,
2015,1427140417,ALBRECHT,WILLIAM,84720,Cedar City,Iron,UT,Optometry,90,0,0,,
2016,1952367955,BROWN,SHAWN,84720,Cedar City,Iron,UT,Dentist,88,20,0.2273,0,0
2016,1447285903,GARDNER,JEFFERY,84720,Cedar City,Iron,UT,Emergency Medicine,87,11,0.1264,0,0
2015,1952324410,CORRY,ROBERT,84720,Cedar City,Iron,UT,Family Practice,86,,,,
2015,1447548128,PERSONS,RICHARD,84721,Cedar City,Iron,UT,Physician Assistant,84,,,,
2015,1902964356,TAVOIAN,BRIAN,84720,Cedar City,Iron,UT,Dentist,82,25,0.3049,,
2016,1770504284,GATHERUM,DAREN,84720,Cedar City,Iron,UT,Obstetrics & Gynecology,81,,,0,
2015,1164494076,MUNFORD,MICHAEL,84720,Cedar City,Iron,UT,General Surgery,72,17,0.2361,,
2015,1598851818,BARRICK,MICHAEL,84720,Cedar City,Iron,UT,Dentist,72,,,,
2016,1023072451,BROWN,GREGORY,84720,Cedar City,Iron,UT,Dentist,70,22,0.3143,0,0
2016,1336153030,HENDRIX,BRUCE,84720,Cedar City,Iron,UT,Internal Medicine,70,,,0,
2015,1902942147,LUDLOW,JEREMY,84720,Cedar City,Iron,UT,Dentist,70,24,0.3429,,
2015,1447285903,GARDNER,JEFFERY,84720,Cedar City,Iron,UT,Emergency Medicine,68,12,0.1765,,
2016,1568837110,ROMNEY,JONATHAN,84720,Cedar City,Iron,UT,General Practice,66,0,0,0,
2016,1861571234,WHITNEY,BRIAN,84720,Cedar City,Iron,UT,Optometry,66,0,0,0,
2015,1023072451,BROWN,GREGORY,84720,Cedar City,Iron,UT,Dentist,66,24,0.3636,,
2016,1841301660,BARRICK,ROBERT,84720,Cedar City,Iron,UT,Dentist,62,16,0.2581,0,0
2015,1861571234,WHITNEY,BRIAN,84720,Cedar City,Iron,UT,Optometry,62,0,0,,
2015,1871703363,FISH,SHERAL,84720,Cedar City,Iron,UT,Physician Assistant,61,0,0,,
2015,1346342904,SORENSEN,SHANNON,84720,Cedar City,Iron,UT,Dentist,57,21,0.3684,,
2016,1346342904,SORENSEN,SHANNON,84720,Cedar City,Iron,UT,Dentist,56,14,0.25,0,0
2015,1770504284,GATHERUM,DAREN,84720,Cedar City,Iron,UT,Obstetrics/Gynecology,56,0,0,,
2016,1407873904,BROWN,LOY,84721,Cedar City,Iron,UT,Optometry,55,0,0,0,
2016,1902964356,TAVOIAN,BRIAN,84720,Cedar City,Iron,UT,Dentist,54,11,0.2037,0,0
2015,1841301660,BARRICK,ROBERT,84720,Cedar City,Iron,UT,Dentist,54,15,0.2778,,
2015,1144654575,DAVIES,D. ALAN,84721,Cedar City,Iron,UT,Dentist,54,11,0.2037,,
2016,1144654575,DAVIES,D. ALAN,84721,Cedar City,Iron,UT,Dentist,48,,,0,
2016,1598851818,BARRICK,MICHAEL,84720,Cedar City,Iron,UT,Dentist,45,,,0,
2015,1861833303,SOLOMON,DAPHNE,84721,Cedar City,Iron,UT,Nurse Practitioner,40,0,0,,
2015,1407873904,BROWN,LOY,84721,Cedar City,Iron,UT,Optometry,34,0,0,,
2015,1134144199,HANSEN,SUSAN,84720,Cedar City,Iron,UT,Certified Nurse Midwife,32,0,0,,
2016,1073825360,HARWARD,BRIAN,84721,Cedar City,Iron,UT,Dentist,32,,,0,
2016,1164494076,MUNFORD,MICHAEL,84721,Cedar City,Iron,UT,General Surgery,31,17,0.5484,0,0
2016,1558403238,WHITE,SAGE,84720,Cedar City,Iron,UT,Dentist,29,,,0,
2016,1053471862,FAULKNER,DAVIN,84720,Cedar City,Iron,UT,Dentist,28,0,0,0,
2015,1558403238,WHITE,SAGE,84720,Cedar City,Iron,UT,Dentist,28,,,,
2016,1417228032,CORRY,DOUGLAS,84720,Cedar City,Iron,UT,Dentist,26,,,0,
2015,1386612810,TAGGART,STEVEN,84720,Cedar City,Iron,UT,Optometry,25,0,0,,
2015,1780017723,BROWN,ASHLEY,84721,Cedar City,Iron,UT,Dentist,25,13,0.52,,
2016,1134144199,HANSEN,SUSAN,84720,Cedar City,Iron,UT,Certified Nurse Midwife,24,0,0,0,
2015,1073825360,HARWARD,BRIAN,84721,Cedar City,Iron,UT,Dentist,22,,,,
2016,1780017723,BROWN,ASHLEY,84721,Cedar City,Iron,UT,Dentist,20,,,0,
2016,1386626018,PARKER,SCOTT,84720,Cedar City,Iron,UT,Nurse Practitioner,19,,,0,
2015,1154596450,BROWN,DAVID,84720,Cedar City,Iron,UT,Family Practice,18,0,0,,
2015,1669560975,FACKRELL,CRAIG,84720,Cedar City,Iron,UT,Dentist,18,,,,
2016,1386612810,TAGGART,STEVEN,84720,Cedar City,Iron,UT,Optometry,17,0,0,0,
